date,license plate,student,am,pm
03/04/2022,BEA0645,y,y,n
03/11/2022,BUU4060,y,n,y
03/16/2022,3542,,y,y
03/21/2022,BVS4861,y,y,y
03/23/2022,CAV2481,,y,y
03/25/2022,12899,,n,y
03/31/2022,BWY9403,y,y,n
04/13/2022,CBK1040,,y,y
04/13/2022,12345G,y,y,n
04/13/2022,BMM7011,,n,y
04/19/2022,040 ZYG,n,y,n
04/26/2022,CARVANA VOLT,,y,y
05/02/2022,AFY5759,,n,y
05/03/2022,BYS6520,y,y,y
05/06/2022,79339A,,y,y
05/09/2022,CDF8669,,y,n
05/10/2022,BZK6687,,y,y
05/11/2022,CCR6683,,n,y
05/16/2022,CAV5368,y,n,y
05/17/2022,CAV2481,,y,y
05/18/2022,CDF4804,y,y,n
05/19/2022,BLX2697,,y,n
05/19/2022,BKN7175,,n,y
05/23/2022,BTN1637,n,y,y
05/24/2022,CAV5368,y,y,y
05/26/2022,BUU4060,y,y,y
