date,license plate,student,am,pm
09/02/2022,BBF9625,,y,y
09/07/2022,BBF9625,,y,y
09/08/2022,FORD FOCUS,,y,n
09/08/2022,CDY9439,,n,y
09/09/2022,BBF9625,,y,y
09/13/2022,370-YRP,,y,y
09/14/2022,CED7721,,y,y
09/15/2022,CDY9439,,y,y
09/16/2022,C03312P,,y,n
09/16/2022,CDF9652,n,n,y
09/19/2022,BBF9625,,y,y
09/20/2022,CDY9439,,y,y
09/22/2022,BHL6337 ARIZONA,,y,n
09/22/2022,CDF9652,n,n,y
09/23/2022,C73160Y,,y,y
09/26/2022,CBK2352,,y,n
09/26/2022,BBF9625,,n,y
09/27/2022,C03312P,,y,y
09/28/2022,CBK2352,,y,n
09/28/2022,CDF8669,,n,y
09/29/2022,CED7721,,y,y
09/30/2022,AQJ4967,,y,y
10/03/2022,CED7721,,y,y
10/04/2022,C03312P,,y,n
10/04/2022,CCR6684,,n,y
10/05/2022,C03312P,,y,n
10/05/2022,CCR6684,,n,y
10/06/2022,C03312P,,y,n
10/06/2022,CDF9652,,n,y
10/07/2022,CED7721,,y,y
10/10/2022,BJR4586,,y,n
10/10/2022,736G,,n,y
10/11/2022,C03312P,,y,n
10/11/2022,CCR6684,,n,y
10/12/2022,ZXG838 OREGON,n,y,y
10/13/2022,587-YRO,,y,y
10/18/2022,CDF4301,,y,y
10/19/2022,CDF4301,,y,y
10/20/2022,ZXG838,n,y,y
